actions_taken,booking_id,created_date,description,incident_datetime,incident_id,incident_type,involved_inmates,involved_staff,location,person_id,referral_to_outside_agency
"[""ISOLATION""]",dcc84ba3-91de-4c4f-864f-5355ceab1c75,2025-09-15 10:45:24,Property damage to dayroom table recorded.,2025-07-23 04:50:09,JINC-b21b6e30-568d-42ee-b2f2-d1f9ffbe34d2,SELF_HARM,"[""19437747-4064-42d0-b5fb-96c3303bc9c0"", ""854f2dba-f76b-4b4b-a2fd-9afb9af55a0f""]","[""Elizabeth Adams"", ""Lindsay Hanson""]",POD B,P-4E26711D9B,
"[""REPORT_FILED""]",1e0f040e-7764-4c93-8068-3932df5f5606,2025-09-15 10:45:24,Altercation between inmates; separated by staff.,2025-08-21 02:22:24,JINC-b76178cb-fb79-4e6c-ba00-453650a4e447,CONTRABAND,[],"[""Jose Adams""]",POD B,P-8B3946E0D0,KCSO
"[""REPORT_FILED"", ""MEDICAL_EVAL""]",72a91b53-d220-476a-8761-7fe486aa62a7,2025-09-15 10:45:25,Property damage to dayroom table recorded.,2025-05-06 20:58:09,JINC-76c359fd-c727-499a-a03f-828f0cd68b7e,MEDICAL,"[""5da4f277-518a-43f8-883a-c64fc6a2db4e""]","[""Jason Dominguez""]",CELL 2,P-3BCCB13AD3,
"[""REPORT_FILED""]",8397f4ac-6108-43ed-adf2-7c45ce98f7d3,2025-09-15 10:45:25,Inmate referred for medical evaluation.,2025-06-02 02:28:34,JINC-d7b888af-9a27-413e-969e-139e1bdc6523,CONTRABAND,[],"[""Michele Gilbert"", ""William Baldwin"", ""Steven Brown""]",POD B,P-E4A069907B,
"[""REPORT_FILED"", ""ISOLATION"", ""EVIDENCE_SEIZED""]",d9e7ec16-7154-4d44-b31e-64790dd9bc11,2025-09-15 10:45:25,Property damage to dayroom table recorded.,2025-07-09 01:30:21,JINC-c869a3bc-bf32-4915-bc52-b00d248e0d02,MEDICAL,"[""2e9a5a49-e325-46ee-b15b-62a07923f91a"", ""8d9e3f5e-36de-4069-984a-877d4687ca89""]","[""Laura Mcintosh""]",YARD,P-C97C57BEFA,
"[""DISCIPLINARY"", ""ISOLATION""]",bcc12ced-0158-4e89-8984-93b1cc548684,2025-09-15 10:45:25,Inmate referred for medical evaluation.,2025-04-11 03:09:17,JINC-d5e15b74-c6b0-4167-a9f2-0abf9e49f4a6,ASSAULT,"[""ece29779-51d1-4c82-82f5-ca7d38ae8f60"", ""8891b7d9-4ac1-4f7e-a297-9beb99fcf0e5""]","[""Betty Miranda"", ""Jack Hernandez""]",MEDICAL,P-FD9B5DB6D0,
"[""ISOLATION"", ""MEDICAL_EVAL"", ""DISCIPLINARY""]",0cec8f9c-0e95-4d71-88b7-20aa7e0aa6e0,2025-09-15 10:45:25,Inmate referred for medical evaluation.,2025-05-15 17:48:38,JINC-eb0652b6-2269-4f05-8803-899ad3522670,SELF_HARM,"[""e559e007-04b3-4e3c-b1a6-4abb04aee0b3"", ""60dd9f32-6796-4fb0-9b09-aad01f72ac8d""]","[""Timothy Hernandez"", ""Katherine Rogers"", ""Cory Meyer""]",POD A,P-D207423948,PROSECUTOR
"[""DISCIPLINARY"", ""MEDICAL_EVAL"", ""REPORT_FILED""]",3c554a39-f1a3-46b8-a56d-b766766af90c,2025-09-15 10:45:25,Altercation between inmates; separated by staff.,2025-08-06 19:19:28,JINC-bd4703e3-3e7c-4a8f-9d65-ba09b1a287ef,ASSAULT,"[""70ec15f1-59ff-4bbd-860b-3e58bd3422e0"", ""b2bcdfcf-3eef-4338-9c68-fd29bdccccd9"", ""58ddda5c-2120-4b1d-b3b3-a73a4e432ac7""]","[""Eric Wolf"", ""Joshua Henderson"", ""Phillip Velazquez""]",CELL 2,P-754CE8F84C,PROSECUTOR
"[""MEDICAL_EVAL"", ""ISOLATION"", ""REPORT_FILED""]",515bb0fb-bc92-4b6a-a934-61cc35dcae65,2025-09-15 10:45:25,Property damage to dayroom table recorded.,2025-06-19 08:59:39,JINC-f2a939a5-8018-426b-af78-977506b4ead4,ASSAULT,[],"[""Jason Newman""]",CELL 2,P-C7F4F99788,
"[""REPORT_FILED""]",25f81501-0ede-44ee-8c9a-1fa7629e1ed5,2025-09-15 10:45:25,Altercation between inmates; separated by staff.,2025-06-03 22:15:50,JINC-8ee56875-4b81-4c1f-95b5-bc272a1048c0,ASSAULT,"[""51be13a8-5507-4df5-af79-7e1062afef15""]","[""Ashley Dominguez"", ""Karina Barry""]",DAYROOM,P-20F02EB080,PROSECUTOR
"[""REPORT_FILED"", ""DISCIPLINARY"", ""ISOLATION""]",89e534a8-68f3-427c-a89a-e7e885630c4f,2025-09-15 10:45:25,Contraband discovered during cell search.,2025-08-15 13:43:52,JINC-72bf2577-203b-453d-8fe0-0bce9384a0b2,CONTRABAND,[],"[""Christine Graham"", ""Lynn Melendez""]",CELL 2,P-ACCB778E2B,
"[""ISOLATION"", ""EVIDENCE_SEIZED"", ""DISCIPLINARY""]",4760b481-fd76-44b5-bb9a-aaa576631580,2025-09-15 10:45:25,Inmate referred for medical evaluation.,2025-05-15 18:17:21,JINC-a3395f9e-b30a-43a8-bc6a-23f8af855a20,SELF_HARM,[],"[""Cody Schultz"", ""Jill Snyder"", ""Juan Bryant""]",CELL 2,P-7F6C273778,
"[""REPORT_FILED""]",c52bb28d-75fb-4601-a041-442715cec58f,2025-09-15 10:45:25,Inmate referred for medical evaluation.,2025-05-04 21:03:04,JINC-ae18dde5-bc34-476a-a8e9-7604e33115d2,CONTRABAND,"[""6cc8a286-24d7-45a9-a649-ee1151689ba8""]","[""Ian Burns"", ""Charles Oconnor"", ""Matthew Archer""]",POD A,P-22AC33C569,PROSECUTOR
"[""ISOLATION""]",888bcef2-185b-4c7d-ad35-90d86b44aafe,2025-09-15 10:45:25,Contraband discovered during cell search.,2025-08-27 08:04:40,JINC-92de0c20-fa12-4617-9a74-1ef84b84f267,MEDICAL,[],"[""Allison Jones"", ""Catherine Nelson"", ""James Henry""]",MEDICAL,P-19378F838D,
"[""REPORT_FILED""]",57da1fef-c59f-4d35-b015-b6c1e1bc5958,2025-09-15 10:45:25,Altercation between inmates; separated by staff.,2025-06-23 17:29:28,JINC-f0e1d980-7256-4db2-861f-dbc639d0e758,PROPERTY_DAMAGE,"[""835ad6d2-fcec-4cdd-9e72-2d7749dc89fa""]","[""Victoria Lawson""]",YARD,P-187529B49B,KCSO
"[""DISCIPLINARY"", ""ISOLATION""]",6648479f-859d-4c65-823a-f2a95b3d16d1,2025-09-15 10:45:25,Contraband discovered during cell search.,2025-07-20 11:20:41,JINC-a3df65f8-8e8c-4585-a97c-e16b7f8acb85,MEDICAL,"[""ce178a29-2e31-46ef-a0cd-9527781508e9"", ""233d4e6c-a90c-4d83-b670-d92b51005c8e""]","[""Blake Briggs"", ""Jeremy Huffman"", ""Frank Dawson""]",MEDICAL,P-322B9F0544,KCSO
"[""REPORT_FILED"", ""DISCIPLINARY"", ""ISOLATION""]",26e493fd-4b9d-41cd-bd57-45280b6a09e9,2025-09-15 10:45:25,Altercation between inmates; separated by staff.,2025-04-05 11:27:28,JINC-5b314146-272a-46f0-99a1-e6ed69fcfe07,PROPERTY_DAMAGE,"[""8935bae5-e6dd-44d1-959d-a3c3ad2d8b81""]","[""Catherine Price"", ""Michael Hardy"", ""Andrew Jennings""]",POD A,P-1E1F1D19E0,KCSO
"[""ISOLATION""]",68b8cba1-0b25-4991-b952-0902337486f9,2025-09-15 10:45:25,Inmate referred for medical evaluation.,2025-04-07 01:40:46,JINC-1ed99cfc-51d3-4f15-9684-5aab2838ade0,ASSAULT,"[""a50e5756-f55e-4967-a7d1-24d2dc394fe9"", ""809c81e7-52a9-4688-bb65-55ffb701c099""]","[""Joy Rhodes"", ""Leah Scott""]",CELL 2,P-75E84CBEE7,
"[""EVIDENCE_SEIZED"", ""ISOLATION"", ""DISCIPLINARY""]",3290d331-a2e2-4be4-a266-0ea02ce46a37,2025-09-15 10:45:25,Altercation between inmates; separated by staff.,2025-06-12 20:08:09,JINC-4170ef08-e18b-4bb8-950e-c8488b36c65e,MEDICAL,"[""83e19fda-69d3-4aed-9eb0-9d06ac0d1360"", ""98f398fa-cc4c-4e94-a2f9-fd5b9cee515b"", ""e74563cd-04f5-4d36-b4d0-15560afeece2""]","[""Jeffrey Ortiz""]",YARD,P-3089F41AB7,KCSO
"[""MEDICAL_EVAL"", ""DISCIPLINARY"", ""ISOLATION""]",562b989d-f0ec-4233-96f2-ee9a16315ca4,2025-09-15 10:45:25,Property damage to dayroom table recorded.,2025-05-12 06:43:09,JINC-473b59ae-67b4-4639-95c0-cad1f6695d13,CONTRABAND,"[""7625bb9e-e4fa-44af-8310-269dbb155d4b""]","[""Thomas Smith""]",YARD,P-BB0FFD9114,KCSO
"[""ISOLATION""]",9a6a1f30-c109-45a1-b26c-959ce0f14f1b,2025-09-15 10:45:25,Altercation between inmates; separated by staff.,2025-06-07 23:22:05,JINC-b8f971e9-8d2b-40d9-aed7-c5abff897636,PROPERTY_DAMAGE,"[""2b297362-3697-4d11-a19d-4500236a44dd"", ""5e76f304-ed9d-4989-aacf-b35d7fd39467"", ""d71ec526-b3d8-4983-b1ce-cfe279145451""]","[""Erin Torres"", ""Jessica Nash"", ""Debra Thompson""]",POD B,P-95AF04B7B3,KCSO
"[""MEDICAL_EVAL""]",c62608dd-1636-4ae8-a035-7b4a3f3aec3d,2025-09-15 10:45:25,Inmate referred for medical evaluation.,2025-03-20 07:52:36,JINC-448524db-d4e2-48d6-a8e7-e77a54167d27,ASSAULT,"[""89243f55-e5d2-4c42-976b-18f88076ffc2"", ""1017eacd-f5e0-430a-9a87-44029f0022e4"", ""20a99c08-3782-4b58-8ecf-9e22b1e7eede""]","[""Kenneth Gibbs"", ""Brian Butler"", ""George Ross""]",POD B,P-5377318852,
"[""REPORT_FILED"", ""ISOLATION"", ""MEDICAL_EVAL""]",3266ce54-21cb-4db4-a29b-619a6ecbf63a,2025-09-15 10:45:25,Property damage to dayroom table recorded.,2025-08-13 03:12:21,JINC-f6fce389-3235-471b-b3bf-4e5449ef1a29,CONTRABAND,"[""cc343c44-b5d7-48ff-912c-50b15e189766"", ""3f20f192-7511-4aab-928e-5dbf497888ad"", ""3ff1714e-5792-4c27-9c75-5444b66155c2""]","[""Peter Pineda""]",POD B,P-2BC314A018,
"[""ISOLATION"", ""DISCIPLINARY""]",a219de9b-f021-4ee9-b25b-7322ba7608fc,2025-09-15 10:45:25,Contraband discovered during cell search.,2025-06-11 07:02:34,JINC-00d3ef2e-b8d7-4045-a5fc-834aa0253960,CONTRABAND,"[""d690d068-36a3-4c5d-bd4e-00620a4a4b61"", ""ba318d01-b085-4bf5-8b9a-32f873f8cdcc"", ""97cac4de-19b5-4f93-a83e-1cfdc4c8db7c""]","[""Juan Thomas""]",MEDICAL,P-9F0388477D,KCSO
"[""MEDICAL_EVAL"", ""REPORT_FILED""]",14b97388-9090-49eb-ac04-076e03cdae5c,2025-09-15 10:45:25,Property damage to dayroom table recorded.,2025-09-11 09:48:37,JINC-116a2dab-263d-4712-953f-8523f907f5ab,SELF_HARM,"[""e87d7286-4722-4029-a5f8-40417eea26a4"", ""c7c69025-5d80-414d-a6b2-9d3a8557773d""]","[""Anna Black"", ""Dominic Johnson"", ""Brian Johnson""]",DAYROOM,P-18F753D503,KCSO
"[""REPORT_FILED""]",741dd2c7-e494-4eac-9981-121c9a76397c,2025-09-15 10:45:25,Property damage to dayroom table recorded.,2025-05-02 22:31:48,JINC-d57c81b2-ca7f-4267-a37e-4a04a06fa957,SELF_HARM,"[""1e7d44e1-c161-4fd1-b477-1091c08d2a24"", ""56d34880-cb6e-4d9c-b25c-12e24451e4a1"", ""4be60cdc-b97d-4d74-a472-698d61e81b0e""]","[""Johnathan Baker""]",POD A,P-802CEA5CB1,
"[""EVIDENCE_SEIZED"", ""DISCIPLINARY""]",efb0fbb7-509c-4e74-a608-9a0033e8fbca,2025-09-15 10:45:25,Altercation between inmates; separated by staff.,2025-04-23 12:21:39,JINC-1658a0c8-5d2d-4904-a4c3-396dc7cb1c47,MEDICAL,"[""92b37194-1df1-4f46-8846-2491dd59f921"", ""913c1368-b80b-48da-bc38-334dc519cdd8""]","[""Joseph Gates"", ""Thomas Ferguson""]",POD A,P-770E50A933,PROSECUTOR
"[""ISOLATION"", ""MEDICAL_EVAL"", ""DISCIPLINARY""]",04f3ab34-a45d-4061-a020-47949d17342b,2025-09-15 10:45:25,Altercation between inmates; separated by staff.,2025-06-19 06:43:51,JINC-9db364a7-76a7-45fc-856c-90d211573732,PROPERTY_DAMAGE,"[""4fe3b9bd-cdf8-478f-bf05-77d26f48ba0c"", ""f82e1cdf-a07b-44f3-9186-88649aa08619""]","[""Kevin Jordan"", ""Cynthia Marks"", ""Samuel Moreno""]",YARD,P-BD1E45BA7C,
"[""MEDICAL_EVAL"", ""EVIDENCE_SEIZED"", ""DISCIPLINARY""]",7ca42cef-3200-4a0b-a9da-3c3accf528f7,2025-09-15 10:45:25,Contraband discovered during cell search.,2025-07-26 20:19:03,JINC-d9b6e742-5e08-4bd1-a00c-c988e11c1715,PROPERTY_DAMAGE,"[""163a9514-95f0-4f4e-b4a2-34fbda3e6f94"", ""b9f183f6-0c45-4295-bc43-37b24e78edfc""]","[""Jason Jefferson"", ""Chad Logan"", ""Heidi Cordova""]",CELL 2,P-B208761664,
"[""DISCIPLINARY"", ""ISOLATION"", ""EVIDENCE_SEIZED""]",6877fb51-0b4c-4800-8c04-f157a04a0838,2025-09-15 10:45:25,Contraband discovered during cell search.,2025-07-23 22:07:34,JINC-c4c35014-3fb3-44de-bb8e-b00b74c8d4b5,CONTRABAND,"[""4b13e0d3-efb0-420b-9598-dfc12d202dbb""]","[""Teresa Gutierrez"", ""Scott Wang"", ""Troy Williamson""]",CELL 2,P-7E7DA4AF29,
"[""ISOLATION"", ""REPORT_FILED"", ""EVIDENCE_SEIZED""]",a7c72c90-d28b-4d83-8ede-9edfac74168c,2025-09-15 10:45:25,Property damage to dayroom table recorded.,2025-04-06 05:40:49,JINC-70ea1ba8-5510-448e-a772-d09e0b091def,CONTRABAND,"[""f6522ee8-4759-4998-840f-bcdbe928c95a"", ""6fd93adb-2586-410d-b3af-0544d91ea943"", ""4753fae1-c8b9-4929-90cc-0cc241958f47""]","[""Joanne Russell"", ""Andrew Ray"", ""John Alvarez""]",POD A,P-1A83EA98C5,
"[""REPORT_FILED"", ""ISOLATION""]",545dfaa8-5d12-4bee-8060-ecb6f4cb9f95,2025-09-15 10:45:25,Altercation between inmates; separated by staff.,2025-08-26 07:29:49,JINC-8ad9f514-fa6c-43b2-8db4-c2ce49e659ef,PROPERTY_DAMAGE,"[""f4ec9904-44f0-4286-91aa-c664a60ff79c"", ""e28b7c17-e8ef-4edd-89e6-5aa9f346c516"", ""84294f6d-f0ac-4f3a-8b28-5f3165cf78b3""]","[""Krystal Wood""]",MEDICAL,P-244CFBB402,KCSO
"[""EVIDENCE_SEIZED""]",1647d47c-4e76-42e9-bd2c-339ea3f23ffe,2025-09-15 10:45:26,Inmate referred for medical evaluation.,2025-05-05 19:17:29,JINC-638a2514-1326-48d2-aeb4-792a8eaf2b57,PROPERTY_DAMAGE,[],"[""Molly Hill"", ""John Richardson"", ""Eric Andrews""]",MEDICAL,P-8C5339EB07,PROSECUTOR
"[""DISCIPLINARY"", ""MEDICAL_EVAL""]",1e3dbd43-9eac-4d30-814c-334375912373,2025-09-15 10:45:26,Property damage to dayroom table recorded.,2025-04-24 19:14:33,JINC-ec7f2f9b-6aec-4c62-8f63-567dec51c590,CONTRABAND,"[""14dd82e1-67ae-44a1-ade5-297195cc1574"", ""29c5fc5d-f542-4293-abb5-38739ef87f4d"", ""348a5e50-26a3-430a-9879-25a45dab1d4b""]","[""Kimberly Pace"", ""Patrick Welch""]",MEDICAL,P-07D7FCA3E5,
"[""MEDICAL_EVAL"", ""ISOLATION"", ""REPORT_FILED""]",5bbff47d-2637-481c-9974-fe5fa7279ab4,2025-09-15 10:45:26,Inmate referred for medical evaluation.,2025-06-18 19:30:20,JINC-71a975d5-ee4d-4de4-9fab-8d873908428e,PROPERTY_DAMAGE,"[""8103c81b-00fb-4f16-8e14-170ed2f9b5a3""]","[""Richard Mcmahon"", ""Shari Grant"", ""William Ryan""]",DAYROOM,P-59241AE68B,KCSO
"[""EVIDENCE_SEIZED"", ""MEDICAL_EVAL"", ""REPORT_FILED""]",ec343b70-619a-4b77-a1cc-4df6f1088a7d,2025-09-15 10:45:26,Altercation between inmates; separated by staff.,2025-07-28 13:02:48,JINC-aeada5a2-723d-4151-8169-92bb392a3c64,MEDICAL,"[""612fe198-6509-4e03-ae63-adfa6cd27d0d"", ""023b4f11-e401-482a-8c00-2beff0bcc8c9""]","[""Sara Martinez"", ""Shawn Roman"", ""Michael Taylor""]",MEDICAL,P-EA89CE3DAB,PROSECUTOR
"[""DISCIPLINARY"", ""MEDICAL_EVAL""]",d252503d-6d92-4bbd-bc58-c04dd87a6e79,2025-09-15 10:45:26,Property damage to dayroom table recorded.,2025-06-21 15:38:09,JINC-2475ea3c-c85c-4d5b-9030-31c26fe903e1,CONTRABAND,"[""db9daa6f-67ed-441b-a2e2-36aa8a20d7dc"", ""452aea3b-e4da-4461-85f4-6561a44ff207"", ""857be833-c912-463a-95f7-df5ac211b7b2""]","[""Brandon Guerrero"", ""Jacob Torres""]",DAYROOM,P-8746DBB13C,
"[""REPORT_FILED"", ""ISOLATION"", ""MEDICAL_EVAL""]",a5868c9a-0724-4302-8c1a-df1c2bb7e62a,2025-09-15 10:45:26,Contraband discovered during cell search.,2025-04-27 02:10:27,JINC-d91f9fd7-546b-468e-b1eb-97fb569c2e7c,CONTRABAND,"[""4d84f1bc-18ce-41c9-8e47-b85b5bb313df"", ""f6db2e02-3a92-4983-8031-64f2ef33f732""]","[""Eric Colon"", ""Michael Bauer"", ""Marc Daniels""]",POD B,P-3D1D2D72AE,PROSECUTOR
"[""REPORT_FILED""]",daffd12a-b400-4a04-80b7-16dc1ab5bbf2,2025-09-15 10:45:26,Inmate referred for medical evaluation.,2025-08-04 05:09:31,JINC-6c9e966f-108b-493c-bfaf-41f4afa4b14e,ASSAULT,"[""c3883505-fabb-4b9f-9d4d-25e1ce402893""]","[""Heather Jimenez"", ""Cynthia Faulkner"", ""Cassandra Henderson""]",DAYROOM,P-14AA87FC02,
"[""DISCIPLINARY"", ""EVIDENCE_SEIZED"", ""MEDICAL_EVAL""]",e15d1ad5-2887-4d8b-b564-caf5da1b2fd4,2025-09-15 10:45:26,Contraband discovered during cell search.,2025-05-04 07:41:01,JINC-6b9773be-4883-4ebf-8d21-6aa65d09d9f3,SELF_HARM,"[""22cfd08f-ddf6-4374-84f6-c93c454fb613"", ""ff9819cc-0131-4aff-b243-f0fe34301e7b"", ""7a8edceb-513b-4a69-8944-991f7ae1f18c""]","[""James Allen"", ""Shane Baldwin""]",DAYROOM,P-C8FEBDFB01,
"[""EVIDENCE_SEIZED""]",d008f755-cef2-4d64-a086-8ca3f6a29d26,2025-09-15 10:45:26,Contraband discovered during cell search.,2025-07-17 09:37:05,JINC-1af3f323-cb5b-4ec0-94ee-8db0fde42bbe,PROPERTY_DAMAGE,"[""cd6347ae-f7c1-4005-9a06-942f425c4e40"", ""d6babeac-a926-40f9-8cbb-e46ab5b63986"", ""871baa2f-5ba3-4454-998a-bdd7b32e2da4""]","[""Gary Mcdaniel""]",POD B,P-A58F2709D7,PROSECUTOR
"[""DISCIPLINARY""]",8a17ef80-214d-4c94-bc23-8fa17a680967,2025-09-15 10:45:26,Altercation between inmates; separated by staff.,2025-07-14 12:38:50,JINC-e5998803-f076-43f2-b813-6da4115852c1,SELF_HARM,[],"[""Colin Stokes"", ""Tracy Johnson"", ""Shannon Rhodes""]",POD A,P-C95536A576,
"[""REPORT_FILED"", ""DISCIPLINARY""]",8533eddb-b623-4f5c-9863-952e28c9bc03,2025-09-15 10:45:26,Altercation between inmates; separated by staff.,2025-06-29 19:07:11,JINC-7e19a851-5e24-465d-8d58-089610c70609,CONTRABAND,"[""21528dbe-c085-4902-a031-2bd35f52fc0b"", ""5bc7b5b9-c674-42bb-991b-14a3ce1c0c37""]","[""Craig Watts"", ""Laura Collins"", ""Tina Lewis""]",POD A,P-11A826C7D5,
"[""ISOLATION"", ""DISCIPLINARY"", ""REPORT_FILED""]",ca73749c-1377-4022-8b84-a1758fb33281,2025-09-15 10:45:26,Altercation between inmates; separated by staff.,2025-07-11 14:59:19,JINC-0f1fede9-c8d0-404d-b29d-aa06b5779f57,ASSAULT,"[""f63023ed-8ac2-474e-a9f6-98d335e63553""]","[""Christopher Dixon""]",DAYROOM,P-322A81677E,
"[""ISOLATION""]",039fa94d-956d-4b95-84ee-73437316423f,2025-09-15 10:45:26,Property damage to dayroom table recorded.,2025-05-08 13:28:46,JINC-dcbfa22b-4020-4b74-b9d9-dc0cb8384d0c,SELF_HARM,"[""d21c766f-9ec8-4bd3-90db-e4f2b0809083""]","[""Morgan Olson"", ""Brian Green"", ""Kayla Dalton""]",MEDICAL,P-8C033BD1E1,KCSO
"[""ISOLATION"", ""MEDICAL_EVAL""]",b642e740-b3f7-4bf9-a44e-564ce7382b84,2025-09-15 10:45:26,Contraband discovered during cell search.,2025-08-06 10:28:35,JINC-0df8841d-1b1f-4fab-af25-a88d95294b8c,SELF_HARM,[],"[""Kimberly Castillo""]",CELL 2,P-7EF6DAA9E8,
"[""EVIDENCE_SEIZED"", ""ISOLATION""]",a53fc5be-90be-4721-b872-02ac534a301b,2025-09-15 10:45:26,Inmate referred for medical evaluation.,2025-04-16 09:51:57,JINC-76d4e625-0a40-45fd-884d-a2f30799f4b1,ASSAULT,"[""16565a9f-8d33-4b06-b2d6-36ba74caf0bf"", ""89d94bb1-bed8-4693-80f1-ec0dd140b6a5"", ""77687376-ca93-4f50-bc76-408df403281d""]","[""Elizabeth Cruz"", ""William Erickson"", ""Alison Campbell""]",POD A,P-797BD1D0FC,
"[""DISCIPLINARY"", ""ISOLATION"", ""REPORT_FILED""]",36bef9ec-787d-41f0-aea4-dc11570ef20f,2025-09-15 10:45:26,Property damage to dayroom table recorded.,2025-03-19 15:30:40,JINC-e6059ed2-3a06-4465-8915-9ef5ae764d70,ASSAULT,"[""1d173012-d1dc-4fd3-b308-d5bce15ee8c1"", ""88bdf454-8f12-467b-8b0b-77972db5bc1e""]","[""Edward Carr"", ""Kathleen Aguirre""]",YARD,P-DF031E45DF,KCSO
"[""ISOLATION"", ""MEDICAL_EVAL"", ""DISCIPLINARY""]",123b258b-acb5-42f4-8646-e8f20a8ba157,2025-09-15 10:45:26,Inmate referred for medical evaluation.,2025-05-09 22:09:49,JINC-d35f75e9-3954-44c0-a68d-bb425a3d5213,PROPERTY_DAMAGE,"[""60f57682-acc9-4107-b883-d8dd915642a0"", ""e91ff7d8-8d57-4271-8936-3bc63f43f1c7""]","[""Katelyn Lin"", ""Deborah Medina""]",YARD,P-4DCE69588A,
"[""EVIDENCE_SEIZED""]",9eecd338-188a-491f-b89c-f073907810c5,2025-09-15 10:45:26,Inmate referred for medical evaluation.,2025-03-20 01:52:42,JINC-6b3c1df8-1f79-4cf4-acb6-f960618ec658,PROPERTY_DAMAGE,"[""56660433-33be-4cdb-bea8-2920d3c76898"", ""fe303953-7679-4408-ad27-f3f5621a40ea""]","[""Melissa Hansen""]",MEDICAL,P-7D04463109,PROSECUTOR
"[""MEDICAL_EVAL"", ""REPORT_FILED""]",b273d6e5-1ecb-47a5-9baf-0b8a8157a6b7,2025-09-15 10:45:26,Contraband discovered during cell search.,2025-08-22 19:04:03,JINC-18b4d908-d74e-43b4-9f26-e0e69af26cde,SELF_HARM,"[""7bc86002-78f9-48b5-8900-e14f2fc2ab8e"", ""30ba0817-fcac-4d16-a2d0-83bc0f6dc4a7""]","[""Mathew Cooper"", ""Daniel Lopez"", ""Kim Martinez""]",MEDICAL,P-3B96C32E9D,KCSO
"[""ISOLATION""]",6e3118fc-3298-44cc-8dbf-3e90f72612a3,2025-09-15 10:45:26,Contraband discovered during cell search.,2025-05-08 23:31:41,JINC-66ed21e3-1ad8-4c06-8b2d-f04698d81e39,MEDICAL,"[""f32b5399-226b-46cb-a202-33c03a5d2415""]","[""Troy Chavez"", ""Cody Murphy""]",POD B,P-E636E5547A,PROSECUTOR
"[""MEDICAL_EVAL"", ""EVIDENCE_SEIZED"", ""REPORT_FILED""]",2f11776d-eb66-43e4-be5b-4a029852876d,2025-09-15 10:45:26,Inmate referred for medical evaluation.,2025-07-17 19:54:52,JINC-0294da35-c79b-4c8a-b420-3ac5d147cf1b,CONTRABAND,"[""6d4eaff9-bfa2-4f45-84ee-c9b7731d25de"", ""2f016099-0527-430c-bc1b-623f10f60573"", ""8a4e6a17-5835-4ab8-8ced-93b0dbd63f7c""]","[""David Fox"", ""Scott Ray""]",POD B,P-573E369921,
"[""REPORT_FILED""]",6d3cccc5-101e-4a35-b6b1-f86bf4548442,2025-09-15 10:45:26,Contraband discovered during cell search.,2025-09-11 11:27:09,JINC-52ebe2c5-2159-4c76-a3da-52a7bafed6d2,CONTRABAND,"[""5a092af2-dc48-44b1-8aab-38a0c2a15034""]","[""Nathaniel Mcfarland""]",MEDICAL,P-CB0A21135C,KCSO
"[""REPORT_FILED""]",5b088820-9d73-4964-9ebd-451628db7e4a,2025-09-15 10:45:26,Inmate referred for medical evaluation.,2025-05-06 09:49:17,JINC-71b6517f-2b2b-4715-9163-ff350cbdac33,ASSAULT,"[""a364c796-e895-44df-b467-b286aafa8c56"", ""4e143414-8e62-4cef-a6f1-96e214303856""]","[""Amanda Taylor"", ""John Cook""]",MEDICAL,P-0FE060ED2F,
"[""REPORT_FILED"", ""MEDICAL_EVAL""]",67e83cce-4a2f-431d-8c54-166e31045784,2025-09-15 10:45:26,Inmate referred for medical evaluation.,2025-06-27 06:12:58,JINC-a6dac804-bcc1-4503-86dd-1434b69cf274,ASSAULT,"[""c7ea9ab7-5d67-4b0e-a758-25985623fc26"", ""91f056b2-0107-490f-ab20-5325343ecf22"", ""ec19bb3c-fa5e-4afa-bedf-b734c44cef30""]","[""Troy Russell"", ""Sean Morales"", ""Jasmine Jordan""]",YARD,P-8D654C2189,PROSECUTOR
"[""ISOLATION"", ""EVIDENCE_SEIZED"", ""MEDICAL_EVAL""]",26088e1b-aed3-4ab4-a7af-6f281ddcb9a6,2025-09-15 10:45:26,Inmate referred for medical evaluation.,2025-08-10 23:33:40,JINC-dff86aa8-88ef-4979-aa37-46aff5720bc7,ASSAULT,"[""4cc50376-fefb-4b47-862d-48702326f748"", ""b2ef61b5-c688-4b82-9552-570b9bfc30f7""]","[""Tracey Griffith"", ""Adrienne Hall"", ""Brandon Turner""]",YARD,P-CC86529A3F,PROSECUTOR
"[""EVIDENCE_SEIZED"", ""REPORT_FILED"", ""DISCIPLINARY""]",5b884f9e-3e58-4186-9b15-af57df948de8,2025-09-15 10:45:26,Contraband discovered during cell search.,2025-07-27 13:57:13,JINC-c392a624-d3dc-4dd0-acee-4050cf1b4685,CONTRABAND,"[""94644b8e-e92c-469d-9557-6524d9c3add1""]","[""Billy Davidson""]",MEDICAL,P-85361E9ED3,
"[""REPORT_FILED"", ""EVIDENCE_SEIZED"", ""ISOLATION""]",824c0d97-9463-4206-a909-5d8e7874745c,2025-09-15 10:45:26,Inmate referred for medical evaluation.,2025-07-30 00:49:15,JINC-07e4a14c-706a-4759-a62d-2b89ab7e9373,CONTRABAND,[],"[""Kathryn Green""]",MEDICAL,P-DAF85C03D0,KCSO
